"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"GO503_132","00:01:00","00:01:00","8","1"
"GO503_132","00:13:00","00:13:00","9","2"
"GO503_132","00:18:00","00:18:00","10","3"
"GO503_132","00:20:00","00:20:00","11","4"
"GO503_132","00:24:00","00:26:00","15","5"
"GO503_132","00:41:00","00:41:00","106","6"
"GO503_132","00:44:00","00:44:00","107","7"
"GO503_132","00:47:00","00:47:00","108","8"
"GO503_132","00:50:00","00:50:00","109","9"
"GO503_132","00:53:00","00:53:00","110","10"
"GO503_132","00:56:00","00:56:00","111","11"
"GO503_132","00:59:00","00:59:00","112","12"
"GO503_132","01:01:00","01:01:00","113","13"
"GO503_132","01:03:00","01:03:00","114","14"
"GO503_132","01:06:00","01:06:00","115","15"
"GO503_132","01:09:00","01:09:00","116","16"
"GO503_132","01:12:00","01:12:00","117","17"
"GO503_132","01:17:00","01:17:00","118","18"
"GO503_133","00:56:00","00:56:00","118","1"
"GO503_133","01:01:00","01:01:00","117","2"
"GO503_133","01:04:00","01:04:00","116","3"
"GO503_133","01:07:00","01:07:00","115","4"
"GO503_133","01:10:00","01:10:00","114","5"
"GO503_133","01:12:00","01:12:00","113","6"
"GO503_133","01:15:00","01:15:00","112","7"
"GO503_133","01:18:00","01:18:00","111","8"
"GO503_133","01:20:00","01:20:00","110","9"
"GO503_133","01:23:00","01:23:00","109","10"
"GO503_133","01:25:00","01:25:00","108","11"
"GO503_133","01:28:00","01:28:00","107","12"
"GO503_133","01:31:00","01:31:00","106","13"
"GO503_133","01:34:00","01:34:00","100","14"
"GO503_133","01:47:00","01:49:00","15","15"
"GO503_133","01:58:00","01:58:00","9","16"
"GO503_133","02:09:00","02:09:00","8","17"
"GO503_134","00:39:00","00:39:00","8","1"
"GO503_134","00:51:00","00:51:00","9","2"
"GO503_134","00:56:00","00:56:00","10","3"
"GO503_134","00:58:00","00:58:00","11","4"
"GO503_134","01:02:00","01:04:00","15","5"
"GO503_134","01:17:00","01:17:00","100","6"
"GO503_134","01:20:00","01:20:00","106","7"
"GO503_134","01:23:00","01:23:00","107","8"
"GO503_134","01:26:00","01:26:00","108","9"
"GO503_134","01:29:00","01:29:00","109","10"
"GO503_134","01:32:00","01:32:00","110","11"
"GO503_134","01:35:00","01:35:00","111","12"
"GO503_134","01:38:00","01:38:00","112","13"
"GO503_134","01:40:00","01:40:00","113","14"
"GO503_134","01:42:00","01:42:00","114","15"
"GO503_134","01:45:00","01:45:00","115","16"
"GO503_134","01:48:00","01:48:00","116","17"
"GO503_134","01:51:00","01:51:00","117","18"
"GO503_134","01:56:00","01:56:00","118","19"
"GO503_135","01:36:00","01:36:00","118","1"
"GO503_135","01:41:00","01:41:00","117","2"
"GO503_135","01:44:00","01:44:00","116","3"
"GO503_135","01:46:00","01:46:00","115","4"
"GO503_135","01:49:00","01:49:00","114","5"
"GO503_135","01:51:00","01:51:00","113","6"
"GO503_135","01:54:00","01:54:00","112","7"
"GO503_135","01:56:00","01:56:00","111","8"
"GO503_135","01:59:00","01:59:00","110","9"
"GO503_135","02:02:00","02:02:00","109","10"
"GO503_135","02:05:00","02:05:00","108","11"
"GO503_135","02:08:00","02:08:00","107","12"
"GO503_135","02:11:00","02:11:00","106","13"
"GO503_135","02:15:00","02:15:00","100","14"
"GO503_135","02:30:00","02:32:00","15","15"
"GO503_135","02:41:00","02:41:00","9","16"
"GO503_135","02:51:00","02:51:00","8","17"
"GO503_136","01:37:00","01:37:00","8","1"
"GO503_136","01:49:00","01:49:00","9","2"
"GO503_136","01:58:00","02:00:00","15","3"
"GO503_136","02:11:00","02:11:00","87","4"
"GO503_136","02:13:00","02:13:00","100","5"
"GO503_136","02:16:00","02:16:00","106","6"
"GO503_136","02:19:00","02:19:00","107","7"
"GO503_136","02:22:00","02:22:00","108","8"
"GO503_136","02:25:00","02:25:00","109","9"
"GO503_136","02:28:00","02:28:00","110","10"
"GO503_136","02:31:00","02:31:00","111","11"
"GO503_136","02:34:00","02:34:00","112","12"
"GO503_136","02:36:00","02:36:00","113","13"
"GO503_136","02:38:00","02:38:00","114","14"
"GO503_136","02:41:00","02:41:00","115","15"
"GO503_136","02:44:00","02:44:00","116","16"
"GO503_136","02:47:00","02:47:00","117","17"
"GO503_136","02:52:00","02:52:00","118","18"
"GO503_137","03:21:00","03:21:00","118","1"
"GO503_137","03:27:00","03:27:00","115","2"
"GO503_137","03:32:00","03:32:00","111","3"
"GO503_137","03:38:00","03:38:00","108","4"
"GO503_137","03:56:00","03:58:00","15","5"
"GO503_137","04:08:00","04:08:00","9","6"
"GO503_137","04:18:00","04:18:00","8","7"
"GO503_138","03:10:00","03:10:00","8","1"
"GO503_138","03:29:00","03:30:00","15","2"
"GO503_138","03:44:00","03:44:00","106","3"
"GO503_138","03:47:00","03:47:00","107","4"
"GO503_138","03:50:00","03:50:00","108","5"
"GO503_138","03:53:00","03:53:00","109","6"
"GO503_138","03:56:00","03:56:00","110","7"
"GO503_138","03:59:00","03:59:00","111","8"
"GO503_138","04:02:00","04:02:00","112","9"
"GO503_138","04:04:00","04:04:00","113","10"
"GO503_138","04:06:00","04:06:00","114","11"
"GO503_138","04:09:00","04:09:00","115","12"
"GO503_138","04:12:00","04:12:00","116","13"
"GO503_138","04:15:00","04:15:00","117","14"
"GO503_138","04:20:00","04:20:00","118","15"
"GO503_139","03:37:00","03:37:00","118","1"
"GO503_139","03:42:00","03:42:00","117","2"
"GO503_139","03:45:00","03:45:00","116","3"
"GO503_139","03:47:00","03:47:00","115","4"
"GO503_139","03:50:00","03:50:00","114","5"
"GO503_139","03:52:00","03:52:00","113","6"
"GO503_139","03:55:00","03:55:00","112","7"
"GO503_139","03:57:00","03:57:00","111","8"
"GO503_139","04:00:00","04:00:00","110","9"
"GO503_139","04:02:00","04:02:00","109","10"
"GO503_139","04:06:00","04:06:00","108","11"
"GO503_139","04:09:00","04:09:00","107","12"
"GO503_139","04:12:00","04:12:00","106","13"
"GO503_139","04:15:00","04:15:00","100","14"
"GO503_139","04:29:00","04:31:00","15","15"
"GO503_139","04:40:00","04:40:00","9","16"
"GO503_139","04:50:00","04:50:00","8","17"
"GO503_1311","04:39:00","04:39:00","118","1"
"GO503_1311","04:44:00","04:44:00","117","2"
"GO503_1311","04:47:00","04:47:00","116","3"
"GO503_1311","04:49:00","04:49:00","115","4"
"GO503_1311","04:52:00","04:52:00","114","5"
"GO503_1311","04:54:00","04:54:00","113","6"
"GO503_1311","04:57:00","04:57:00","112","7"
"GO503_1311","04:59:00","04:59:00","111","8"
"GO503_1311","05:02:00","05:02:00","110","9"
"GO503_1311","05:05:00","05:05:00","109","10"
"GO503_1311","05:08:00","05:08:00","108","11"
"GO503_1311","05:11:00","05:11:00","107","12"
"GO503_1311","05:14:00","05:14:00","106","13"
"GO503_1311","05:17:00","05:17:00","100","14"
"GO503_1311","05:20:00","05:20:00","87","15"
"GO503_1311","05:31:00","05:33:00","15","16"
"GO503_1311","05:37:00","05:37:00","11","17"
"GO503_1311","05:39:00","05:39:00","10","18"
"GO503_1311","05:45:00","05:45:00","9","19"
"GO503_1311","05:55:00","05:55:00","8","20"
"GO503_1312","04:54:00","04:54:00","8","1"
"GO503_1312","05:05:00","05:05:00","9","2"
"GO503_1312","05:14:00","05:16:00","15","3"
"GO503_1312","05:29:00","05:29:00","100","4"
"GO503_1312","05:32:00","05:32:00","106","5"
"GO503_1312","05:35:00","05:35:00","107","6"
"GO503_1312","05:38:00","05:38:00","108","7"
"GO503_1312","05:41:00","05:41:00","109","8"
"GO503_1312","05:44:00","05:44:00","110","9"
"GO503_1312","05:47:00","05:47:00","111","10"
"GO503_1312","05:50:00","05:50:00","112","11"
"GO503_1312","05:52:00","05:52:00","113","12"
"GO503_1312","05:54:00","05:54:00","114","13"
"GO503_1312","05:57:00","05:57:00","115","14"
"GO503_1312","06:00:00","06:00:00","116","15"
"GO503_1312","06:03:00","06:03:00","117","16"
"GO503_1312","06:08:00","06:08:00","118","17"
"GO503_1313","05:12:00","05:12:00","118","1"
"GO503_1313","05:17:00","05:17:00","117","2"
"GO503_1313","05:20:00","05:20:00","116","3"
"GO503_1313","05:22:00","05:22:00","115","4"
"GO503_1313","05:25:00","05:25:00","114","5"
"GO503_1313","05:27:00","05:27:00","113","6"
"GO503_1313","05:30:00","05:30:00","112","7"
"GO503_1313","05:55:00","05:56:00","15","8"
"GO503_1313","06:14:00","06:14:00","8","9"
"GO503_1314","06:36:00","06:36:00","8","1"
"GO503_1314","06:47:00","06:47:00","9","2"
"GO503_1314","06:56:00","06:58:00","15","3"
"GO503_1314","07:14:00","07:14:00","100","4"
"GO503_1314","07:17:00","07:17:00","106","5"
"GO503_1314","07:20:00","07:20:00","107","6"
"GO503_1314","07:23:00","07:23:00","108","7"
"GO503_1314","07:25:00","07:25:00","109","8"
"GO503_1314","07:28:00","07:28:00","110","9"
"GO503_1314","07:30:00","07:30:00","111","10"
"GO503_1314","07:33:00","07:33:00","112","11"
"GO503_1314","07:35:00","07:35:00","113","12"
"GO503_1314","07:37:00","07:37:00","114","13"
