shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
12,40.752998,-73.977056,1,
12,40.805157,-73.939149,2,
12,40.8253,-73.9299,3,
12,40.854252,-73.919583,4,
12,40.862248,-73.913120,5,
12,40.874333,-73.910941,6,
12,40.878245,-73.921455,7,
12,40.903981,-73.914126,8,
12,40.924972,-73.904612,9,
12,40.935795,-73.902668,10,
12,40.950496,-73.899062,11,
12,40.971040,-73.889989,12,
12,40.994109,-73.884512,13,
12,41.012459,-73.879490,14,
12,41.026198,-73.876543,15,
12,41.039993,-73.873083,16,
12,41.076473,-73.864563,17,
12,41.094920,-73.869755,18,
12,41.135763,-73.866163,19,
12,41.157663,-73.869281,20,
12,41.189903,-73.882394,21,
12,41.246259,-73.921884,22,
12,41.285962,-73.930420,23,
12,41.332601,-73.970426,24,
12,41.381780,-73.947202,25,
12,41.415283,-73.958090,26,
12,41.450181,-73.982449,27,
12,41.504007,-73.984528,28,
12,41.587448,-73.947226,29,
12,41.705839,-73.937946,30,
13,40.752998,-73.977056,1,
13,40.805157,-73.939149,2,
13,40.8253,-73.9299,3,
13,40.854252,-73.919583,4,
13,40.862248,-73.913120,5,
13,40.874333,-73.910941,6,
13,40.878245,-73.921455,7,
13,40.903981,-73.914126,8,
13,40.924972,-73.904612,9,
13,40.935795,-73.902668,10,
13,40.950496,-73.899062,11,
13,40.971040,-73.889989,12,
13,40.994109,-73.884512,13,
13,41.012459,-73.879490,14,
13,41.026198,-73.876543,15,
13,41.039993,-73.873083,16,
13,41.076473,-73.864563,17,
13,41.094920,-73.869755,18,
13,41.135763,-73.866163,19,
13,41.157663,-73.869281,20,
13,41.189903,-73.882394,21,
13,41.246259,-73.921884,22,
13,41.285962,-73.930420,23,
13,41.332601,-73.970426,24,
13,41.381780,-73.947202,25,
13,41.415283,-73.958090,26,
13,41.450181,-73.982449,27,
13,41.504007,-73.984528,28,
13,41.587448,-73.947226,29,
13,41.705839,-73.937946,30,
14,40.752998,-73.977056,1,
14,40.805157,-73.939149,2,
14,40.825761,-73.915231,3,
14,40.847301,-73.899550,4,
14,40.8615,-73.890580,5,
14,40.866555,-73.883109,6,
14,40.878569,-73.871064,7,
14,40.895361,-73.862916,8,
14,40.905424,-73.854665,9,
