trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
5656473,06:30:00,06:30:00,124,1,0,0
5656473,06:32:00,06:32:00,121,2,0,0
5656473,06:34:00,06:34:00,120,3,0,0
5656473,06:36:00,06:36:00,118,4,0,0
5656473,06:39:00,06:39:00,116,5,0,0
5656473,06:43:00,06:43:00,115,6,0,0
5656473,06:46:00,06:46:00,114,7,0,0
5656473,06:50:00,06:50:00,112,8,0,0
5656473,06:53:00,06:53:00,111,9,0,0
5656473,06:56:00,06:56:00,110,10,0,0
5656473,07:00:00,07:00:00,108,11,0,0
5656473,07:03:00,07:03:00,106,12,0,0
5656473,07:06:00,07:06:00,105,13,0,0
5656473,07:16:00,07:16:00,56,14,1,0
5656473,07:27:00,07:27:00,4,15,1,0
5656473,07:38:00,07:38:00,1,16,0,0
5656476,05:00:00,05:00:00,124,1,0,0
5656476,05:02:00,05:02:00,121,2,0,0
5656476,05:04:00,05:04:00,120,3,0,0
5656476,05:06:00,05:06:00,118,4,0,0
5656476,05:09:00,05:09:00,116,5,0,0
5656476,05:13:00,05:13:00,115,6,0,0
5656476,05:16:00,05:16:00,114,7,0,0
5656476,05:20:00,05:20:00,112,8,0,0
5656476,05:23:00,05:23:00,111,9,0,0
5656476,05:26:00,05:26:00,110,10,0,0
5656476,05:30:00,05:30:00,108,11,0,0
5656476,05:33:00,05:33:00,106,12,0,0
5656476,05:36:00,05:36:00,105,13,0,0
5656476,05:46:00,05:46:00,56,14,1,0
5656476,06:07:00,06:07:00,4,15,1,0
5656476,06:18:00,06:18:00,1,16,0,0
5656478,06:00:00,06:00:00,124,1,0,0
5656478,06:02:00,06:02:00,121,2,0,0
5656478,06:04:00,06:04:00,120,3,0,0
5656478,06:06:00,06:06:00,118,4,0,0
5656478,06:09:00,06:09:00,116,5,0,0
5656478,06:13:00,06:13:00,115,6,0,0
5656478,06:16:00,06:16:00,114,7,0,0
5656478,06:20:00,06:20:00,112,8,0,0
5656478,06:23:00,06:23:00,111,9,0,0
5656478,06:26:00,06:26:00,110,10,0,0
5656478,06:30:00,06:30:00,108,11,0,0
5656478,06:33:00,06:33:00,106,12,0,0
5656478,06:36:00,06:36:00,105,13,0,0
5656478,06:46:00,06:46:00,56,14,1,0
5656478,06:57:00,06:57:00,4,15,1,0
5656478,07:08:00,07:08:00,1,16,0,0
5656480,07:00:00,07:00:00,124,1,0,0
5656480,07:02:00,07:02:00,121,2,0,0
5656480,07:04:00,07:04:00,120,3,0,0
5656480,07:06:00,07:06:00,118,4,0,0
5656480,07:09:00,07:09:00,116,5,0,0
5656480,07:13:00,07:13:00,115,6,0,0
5656480,07:16:00,07:16:00,114,7,0,0
5656480,07:20:00,07:20:00,112,8,0,0
5656480,07:23:00,07:23:00,111,9,0,0
5656480,07:26:00,07:26:00,110,10,0,0
5656480,07:30:00,07:30:00,108,11,0,0
5656480,07:33:00,07:33:00,106,12,0,0
5656480,07:36:00,07:36:00,105,13,0,0
5656480,07:46:00,07:46:00,56,14,1,0
5656480,07:57:00,07:57:00,4,15,1,0
5656480,08:08:00,08:08:00,1,16,0,0
5656482,07:30:00,07:30:00,124,1,0,0
5656482,07:32:00,07:32:00,121,2,0,0
5656482,07:34:00,07:34:00,120,3,0,0
5656482,07:36:00,07:36:00,118,4,0,0
5656482,07:39:00,07:39:00,116,5,0,0
5656482,07:43:00,07:43:00,115,6,0,0
5656482,07:46:00,07:46:00,114,7,0,0
5656482,07:50:00,07:50:00,112,8,0,0
5656482,07:53:00,07:53:00,111,9,0,0
5656482,07:56:00,07:56:00,110,10,0,0
5656482,08:00:00,08:00:00,108,11,0,0
5656482,08:03:00,08:03:00,106,12,0,0
5656482,08:06:00,08:06:00,105,13,0,0
5656482,08:16:00,08:16:00,56,14,1,0
5656482,08:27:00,08:27:00,4,15,1,0
5656482,08:38:00,08:38:00,1,16,0,0
5656484,08:00:00,08:00:00,124,1,0,0
5656484,08:02:00,08:02:00,121,2,0,0
5656484,08:04:00,08:04:00,120,3,0,0
5656484,08:06:00,08:06:00,118,4,0,0
5656484,08:09:00,08:09:00,116,5,0,0
5656484,08:13:00,08:13:00,115,6,0,0
5656484,08:16:00,08:16:00,114,7,0,0
5656484,08:20:00,08:20:00,112,8,0,0
5656484,08:23:00,08:23:00,111,9,0,0
5656484,08:26:00,08:26:00,110,10,0,0
5656484,08:30:00,08:30:00,108,11,0,0
5656484,08:33:00,08:33:00,106,12,0,0
5656484,08:36:00,08:36:00,105,13,0,0
5656484,08:46:00,08:46:00,56,14,1,0
5656484,08:57:00,08:57:00,4,15,1,0
5656484,09:08:00,09:08:00,1,16,0,0
5656486,08:30:00,08:30:00,124,1,0,0
5656486,08:32:00,08:32:00,121,2,0,0
5656486,08:34:00,08:34:00,120,3,0,0
5656486,08:36:00,08:36:00,118,4,0,0
5656486,08:39:00,08:39:00,116,5,0,0
5656486,08:43:00,08:43:00,115,6,0,0
5656486,08:46:00,08:46:00,114,7,0,0
5656486,08:50:00,08:50:00,112,8,0,0
5656486,08:53:00,08:53:00,111,9,0,0
5656486,08:56:00,08:56:00,110,10,0,0
5656486,09:00:00,09:00:00,108,11,0,0
5656486,09:03:00,09:03:00,106,12,0,0
5656486,09:06:00,09:06:00,105,13,0,0
5656486,09:16:00,09:16:00,56,14,1,0
5656486,09:27:00,09:27:00,4,15,1,0
5656486,09:38:00,09:38:00,1,16,0,0
5656488,09:00:00,09:00:00,124,1,0,0
5656488,09:02:00,09:02:00,121,2,0,0
5656488,09:04:00,09:04:00,120,3,0,0
5656488,09:06:00,09:06:00,118,4,0,0
5656488,09:09:00,09:09:00,116,5,0,0
5656488,09:13:00,09:13:00,115,6,0,0
5656488,09:16:00,09:16:00,114,7,0,0
5656488,09:20:00,09:20:00,112,8,0,0
5656488,09:23:00,09:23:00,111,9,0,0
5656488,09:26:00,09:26:00,110,10,0,0
5656488,09:30:00,09:30:00,108,11,0,0
5656488,09:33:00,09:33:00,106,12,0,0
5656488,09:36:00,09:36:00,105,13,0,0
5656488,09:46:00,09:46:00,56,14,1,0
5656488,09:57:00,09:57:00,4,15,1,0
5656488,10:08:00,10:08:00,1,16,0,0
5656490,09:30:00,09:30:00,124,1,0,0
5656490,09:32:00,09:32:00,121,2,0,0
5656490,09:34:00,09:34:00,120,3,0,0
5656490,09:36:00,09:36:00,118,4,0,0
5656490,09:39:00,09:39:00,116,5,0,0
5656490,09:43:00,09:43:00,115,6,0,0
5656490,09:46:00,09:46:00,114,7,0,0
5656490,09:50:00,09:50:00,112,8,0,0
5656490,09:53:00,09:53:00,111,9,0,0
5656490,09:56:00,09:56:00,110,10,0,0
5656490,10:00:00,10:00:00,108,11,0,0
5656490,10:03:00,10:03:00,106,12,0,0
5656490,10:06:00,10:06:00,105,13,0,0
5656490,10:16:00,10:16:00,56,14,1,0
5656490,10:27:00,10:27:00,4,15,1,0
5656490,10:38:00,10:38:00,1,16,0,0
5656492,10:00:00,10:00:00,124,1,0,0
5656492,10:02:00,10:02:00,121,2,0,0
5656492,10:04:00,10:04:00,120,3,0,0
5656492,10:06:00,10:06:00,118,4,0,0
5656492,10:09:00,10:09:00,116,5,0,0
5656492,10:13:00,10:13:00,115,6,0,0
5656492,10:16:00,10:16:00,114,7,0,0
