stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_accessible
1,,Grand Central Terminal,,40.752998,-73.977056,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=1,0,,1
4,,Harlem-125th St.,,40.805157,-73.939149,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=2,0,,1
622,,Yankees-E153 St.,,40.8253,-73.9299,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=3,0,,1
9,,Morris Heights,,40.854252,-73.919583,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=4,0,,1
10,,University Heights,,40.862248,-73.91312,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=6,0,,1
11,,Marble Hill,,40.874333,-73.910941,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=8,0,,0
14,,Spuyten Duyvil,,40.878245,-73.921455,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=10,0,,0
16,,Riverdale,,40.903981,-73.914126,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=12,0,,1
17,,Ludlow,,40.924972,-73.904612,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=14,0,,0
18,,Yonkers,,40.935795,-73.902668,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=16,0,,1
19,,Glenwood,,40.950496,-73.899062,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=18,0,,1
20,,Greystone,,40.97104,-73.889989,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=20,0,,1
22,,Hastings-on-Hudson,,40.994109,-73.884512,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=22,0,,1
23,,Dobbs Ferry,,41.012459,-73.87949,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=24,0,,1
24,,Ardsley-on-Hudson,,41.026198,-73.876543,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=26,0,,1
25,,Irvington,,41.039993,-73.873083,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=28,0,,0
27,,Tarrytown,,41.076473,-73.864563,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=30,0,,1
29,,Philipse Manor,,41.09492,-73.869755,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=32,0,,0
30,,Scarborough,,41.135763,-73.866163,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=34,0,,0
31,,Ossining,,41.157663,-73.869281,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=36,0,,0
40001,,Haverstraw,,41.192009,-73.959017,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=,0,,-2147483648
33,,Croton Harmon,,41.192391,-73.884071,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=38,0,,1
37,,Cortlandt,,41.246259,-73.921884,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=43,0,,1
39,,Peekskill,,41.285962,-73.93042,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=46,0,,1
40,,Manitou,,41.332601,-73.970426,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=48,0,,0
42,,Garrison,,41.38178,-73.947202,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=50,0,,1
43,,Cold Spring,,41.415283,-73.95809,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=54,0,,1
44,,Breakneck Ridge,,41.450181,-73.982449,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=52,0,,0
46,,Beacon,,41.504007,-73.984528,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=56,0,,1
40002,,Newburg,,41.500896,-74.005419,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=,0,,-2147483648
49,,New Hamburg,,41.587448,-73.947226,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=57,0,,0
51,,Poughkeepsie,,41.705839,-73.937946,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=58,0,,1
54,,Melrose,,40.825761,-73.915231,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=104,0,,0
55,,Tremont,,40.847301,-73.89955,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=106,0,,0
56,,Fordham,,40.8615,-73.89058,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=108,0,,1
57,,Botanical Garden,,40.866555,-73.883109,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=110,0,,1
58,,Williams Bridge,,40.878569,-73.871064,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=112,0,,0
59,,Woodlawn,,40.895361,-73.862916,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=114,0,,0
61,,Wakefield,,40.905424,-73.854665,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=116,0,,0
62,,Mt Vernon West,,40.912142,-73.851129,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=118,0,,1
64,,Fleetwood,,40.92699,-73.83948,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=120,0,,1
65,,Bronxville,,40.93978,-73.835208,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=122,0,,0
66,,Tuckahoe,,40.949393,-73.830166,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=124,0,,0
68,,Crestwood,,40.958997,-73.820564,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=126,0,,1
71,,Scarsdale,,40.989168,-73.808634,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=128,0,,0
72,,Hartsdale,,41.010333,-73.796407,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=130,0,,0
74,,White Plains,,41.032589,-73.775208,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=132,0,,1
76,,North White Plains,,41.049806,-73.773142,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=134,0,,1
78,,Valhalla,,41.072819,-73.772599,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=136,0,,1
79,,Mount Pleasant,,41.095877,-73.793822,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=140,0,,0
80,,Hawthorne,,41.108581,-73.79625,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=142,0,,1
81,,Pleasantville,,41.135222,-73.792661,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=146,0,,1
83,,Chappaqua,,41.158015,-73.774885,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=148,0,,1
84,,Mount Kisco,,41.208242,-73.729778,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=150,0,,1
85,,Bedford Hills,,41.237316,-73.699936,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=152,0,,1
86,,Katonah,,41.259552,-73.684155,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=154,0,,1
88,,Golden's Bridge,,41.294338,-73.677655,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=156,0,,1
89,,Purdy's,,41.325775,-73.659061,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=158,0,,1
90,,Croton Falls,,41.347722,-73.662269,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=160,0,,1
91,,Brewster,,41.39447,-73.619802,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=162,0,,1
94,,Southeast,,41.413203,-73.623787,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=163,0,,1
97,,Patterson,,41.511827,-73.604584,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=164,0,,1
98,,Pawling,,41.564205,-73.600524,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=166,0,,1
99,,Appalachian Trail,,41.61081,-73.57871,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=167,0,,0
100,,HM Valley-Wingdale,,41.637525,-73.57145,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=168,0,,1
101,,Dover Plains,,41.740401,-73.576502,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=170,0,,1
176,,Tenmile River,,41.779938,-73.558204,,http://as0.mta.info/mnr/stations/station_detail.cfm?key=172,0,,1
