service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20111204WKD,1,1,1,1,1,0,0,20111204,20121231
A20111204SAT,0,0,0,0,0,1,0,20111204,20121231
A20111204SUN,0,0,0,0,0,0,1,20111204,20121231
B20111204WKD,1,1,1,1,1,0,0,20111204,20121231
B20111204SAT,0,0,0,0,0,1,0,20111204,20121231
B20111204SUN,0,0,0,0,0,0,1,20111204,20121231
R20091213WKD,1,1,1,1,1,0,0,20091213,20111231
R20091213SAT,0,0,0,0,0,1,0,20091213,20111231
R20091213SUN,0,0,0,0,0,0,1,20091213,20111231
S20091213MON,1,0,0,0,0,0,0,20091213,20111231
