service_id,date,exception_type
A20111204WKD,20111226,2
A20111204SUN,20111226,1
A20111204WKD,20120102,2
A20111204SUN,20120102,1
A20111204WKD,20120220,2
A20111204SAT,20120220,1
A20111204WKD,20120528,2
A20111204SUN,20120528,1
B20111204WKD,20111226,2
B20111204SUN,20111226,1
B20111204WKD,20120102,2
B20111204SUN,20120102,1
B20111204WKD,20120220,2
B20111204SAT,20120220,1
B20111204WKD,20120528,2
B20111204SUN,20120528,1
R20091213WKD,20110704,2
R20091213SAT,20110704,1
R20091213WKD,20110905,2
R20091213SUN,20110905,1
R20091213WKD,20111124,2
R20091213SUN,20111124,1
R20091213WKD,20111226,2
R20091213SUN,20111226,1
