stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
7,21263,"ELM ST AT MIDLAND AVE#",,40.769019,-74.141421,589
162,10817,"MAIN ST AT ADAMS AVE",,39.395538,-74.519212,0
163,10837,"MAIN ST AT DELILAH RD",,39.405069,-74.510613,0
164,10811,"MAIN ST AT DELILAH RD",,39.404748,-74.511040,0
165,10820,"MAIN ST AT BAYVIEW AVE",,39.386739,-74.526992,0
166,10808,"MAIN ST AT CEDARCREST AVE",,39.409949,-74.506393,8195
167,10830,"MAIN ST AT DECATUR AVE",,39.388969,-74.524952,0
168,10819,"MAIN ST AT DECATUR AVE",,39.389249,-74.524841,0
169,10827,"MAIN ST AT E. GLENDALE AVE",,39.381749,-74.531390,0
170,10828,"MAIN ST AT E. GREENFIELD AVE",,39.384558,-74.528883,0
171,10818,"MAIN ST AT PLEASANT AVE",,39.393768,-74.520792,0
172,10813,"MAIN ST AT READING AVE",,39.400849,-74.514431,0
173,10841,"MAIN ST AT REDWOOD AVE",,39.412180,-74.504621,0
174,10825,"MAIN ST AT RIDGEWOOD AVE",,39.377849,-74.536030,0
176,10838,"MAIN ST AT THOMPSON AVE",,39.406008,-74.509763,0
177,10810,"MAIN ST AT THOMPSON AVE",,39.405850,-74.510041,0
178,10823,"MAIN ST AT TILTON RD",,39.378820,-74.534983,0
179,10816,"MAIN ST AT WOODLAND AVE",,39.396387,-74.518473,0
180,10842,"MAIN ST AT CALIFORNIA AVE",,39.413388,-74.503852,0
181,10852,"W JERSEY AVE AT MAIN ST",,39.390759,-74.522971,8192
182,10824,"MAIN ST AT RIDGEWOOD AVE",,39.377997,-74.535983,0
183,10826,"MAIN ST AT ASHLAND AVE",,39.378967,-74.534670,0
184,10831,"MAIN ST 200'N OF PLEASANT AVE",,39.393979,-74.520500,0
185,10834,"MAIN ST AT MULBERRY AVE",,39.399218,-74.515823,0
186,10807,"MAIN ST AT REDWOOD AVE",,39.412489,-74.504520,0
187,10809,"MAIN ST AT LEEDS AVE",,39.407850,-74.508281,0
188,10814,"MAIN ST AT BRIGHTON AVE",,39.400188,-74.515023,0
189,10815,"MAIN ST AT MULBERRY AVE",,39.398739,-74.516332,0
190,10821,"MAIN ST AT E. GREENFIELD AVE",,39.384728,-74.528850,0
191,10822,"MAIN ST AT E. GLENDALE AVE",,39.381530,-74.531693,0
192,10829,"MAIN ST AT BAYVIEW AVE",,39.386399,-74.527242,0
193,10832,"MAIN ST AT ADAMS AVE",,39.395319,-74.519252,0
194,10833,"MAIN ST AT E. MERION AVE",,39.397270,-74.517571,0
195,10835,"MAIN ST AT READING AVE",,39.401630,-74.513660,0
196,10836,"MAIN ST AT STENTON PL",,39.402698,-74.512711,0
197,10839,"MAIN ST AT LEEDS AVE",,39.408099,-74.507900,0
198,10840,"MAIN ST AT CEDARCREST AVE",,39.410108,-74.506112,0
199,10855,"NEW RD AT PARK AVE",,39.387068,-74.537461,0
200,10858,"NEW RD AT PARK AVE",,39.386958,-74.537511,0
201,10859,"NEW RD AT NOAHS RD",,39.388959,-74.535082,0
202,10854,"NEW RD AT DOUGHTY RD",,39.389230,-74.534932,0
203,10856,"NEW RD AT TILTON RD",,39.383599,-74.542464,0
204,10857,"NEW RD AT TILTON RD",,39.383618,-74.542272,0
205,10853,"W JERSEY AVE AT MAIN ST",,39.390589,-74.522791,8192
207,10850,"NEW RD AT CALIFORNIA AVE",,39.414520,-74.510553,8192
209,10029,"SHORE RD AT CALIFORNIA AVE",,39.413648,-74.503790,0
210,10002,"NEW RD AT NEW JERSEY AVE",,39.429279,-74.504943,0
211,10031,"WYOMING AVE AT PITNEY RD",,39.432227,-74.498583,0
212,10013,"WHITE HORSE PIKE AT STATION AVE",,39.423730,-74.500402,0
215,10512,"RICHARD STOCKTON COLLEGE",,39.493379,-74.528370,8192
216,10485,"US 9 AT QUAIL HILL BLVD",,39.490650,-74.458313,0
217,10773,"SHORE RD AT COVE RD",,39.361709,-74.555753,0
218,10780,"SHORE RD AT DOLPHIN AVE",,39.376359,-74.537871,0
219,10763,"SHORE RD AT DOLPHIN AVE",,39.376200,-74.538212,0
220,10764,"SHORE RD AT FRANKLIN AVE",,39.375000,-74.539672,0
221,10775,"SHORE RD AT GOLFVIEW DR",,39.368269,-74.547763,0
222,10777,"SHORE RD AT JACKSON AVE",,39.372328,-74.542791,0
223,10766,"SHORE RD AT JACKSON AVE",,39.372180,-74.543121,0
224,10776,"SHORE RD AT MT. VERNON AVE",,39.370519,-74.544952,0
225,10772,"SHORE & TILTON RDS",,39.358868,-74.559223,0
226,10771,"SHORE RD AT OAKCREST AVE",,39.358958,-74.559261,0
227,10765,"SHORE RD AT PUTTING GREEN RD",,39.373608,-74.541313,0
228,10770,"SHORE RD AT RIDGEWOOD DR",,39.360668,-74.557162,0
229,10774,"SHORE RD AT SURREY AVE",,39.363249,-74.553892,0
231,10767,"SHORE RD AT ZION AVE",,39.369988,-74.545791,0
232,10778,"SHORE RD AT PUTTING GREEN RD",,39.373739,-74.541061,0
233,10768,"SHORE RD AT FIFIELD AVE",,39.368379,-74.547752,0
234,10784,"NEW RD AT TILTON RD",,39.374438,-74.554361,0
235,10785,"NEW RD AT NORTHFIELD AVE",,39.372489,-74.556271,0
236,10786,"NEW RD AT MILL RD",,39.369248,-74.559743,0
237,10787,"NEW RD AT CEDAR BRIDGE RD",,39.366518,-74.562542,0
238,10788,"NEW RD AT RIDGEWOOD DR",,39.363268,-74.564663,0
239,10789,"NEW RD AT OAKCREST AVE",,39.361578,-74.565802,0
240,10790,"NEW RD AT OAKCREST AVE",,39.361328,-74.565821,0
241,10791,"NEW RD AT RIDGEWOOD DR",,39.363408,-74.564443,0
242,10792,"NEW RD AT CEDAR BRIDGE RD",,39.366639,-74.562322,0
243,10793,"NEW RD AT MILL RD",,39.369009,-74.559903,0
245,10795,"NEW RD AT TILTON RD",,39.375929,-74.552723,0
246,10783,"NEW RD AT JACKSON AVE",,39.377578,-74.551151,0
247,10782,"NEW RD AT CHESTNUT AVE",,39.379178,-74.548871,0
248,10781,"NEW RD AT DOLPHIN AVE",,39.381058,-74.546142,0
249,10779,"SHORE RD AT CATHERINE PL",,39.375287,-74.539142,0
250,10796,"NEW RD AT JACKSON AVE",,39.377967,-74.550433,0
251,10797,"NEW RD AT CHESTNUT AVE",,39.379209,-74.548633,0
252,10798,"NEW RD AT DOLPHIN AVE",,39.381160,-74.545801,0
255,10180,"S CAROLINA AVE AT ATLANTIC AVE",,39.363068,-74.426970,0
256,10169,"NORTH CAROLINA AVE AT ATLANTIC AVE",,39.363268,-74.425803,0
258,10101,"PORTER AVE AT ALBANY AVE",,39.355829,-74.458610,0
260,10086,"ATLANTIC AVE AT TENNESSEE AVE",,39.362049,-74.428523,0
261,10087,"ATLANTIC AVE AT NEW YORK AVE",,39.361630,-74.429603,0
262,10089,"ATLANTIC AVE AT MARTIN LUTHER KING BLVD",,39.360528,-74.432272,0
263,10091,"ATLANTIC AVE AT ARKANSAS AVE",,39.358478,-74.437343,0
264,10092,"ATLANTIC AVE AT FLORIDA AVE",,39.356538,-74.442162,0
266,10093,"ATLANTIC AVE AT CALIFORNIA AVE",,39.355448,-74.444852,0
267,10094,"ATLANTIC AVE AT BRIGHTON AVE",,39.354409,-74.447421,0
268,10095,"ATLANTIC AVE AT MORRIS AVE",,39.354028,-74.448362,0
269,10096,"ATLANTIC AVE AT CHELSEA AVE",,39.353628,-74.449322,0
270,10097,"ATLANTIC AVE AT MONTPELIER AVE",,39.353239,-74.450313,0
271,10098,"ATLANTIC AVE AT BOSTON AVE",,39.352779,-74.451460,0
272,10059,"ATLANTIC AVE AT BOSTON AVE",,39.352760,-74.450993,0
273,10060,"ATLANTIC AVE AT MONTPELIER AVE",,39.353349,-74.449582,0
274,10061,"ATLANTIC AVE AT CHELSEA AVE",,39.353730,-74.448580,0
275,10062,"ATLANTIC AVE AT BRIGHTON AVE",,39.354349,-74.447070,0
277,10063,"ATLANTIC AVE AT CALIFORNIA AVE",,39.355508,-74.444121,0
279,10064,"ATLANTIC AVE AT FLORIDA AVE",,39.356629,-74.441413,0
282,10067,"ACROSS ATLANTIC AVE AT OHIO AVE",,39.359660,-74.433951,0
284,10068,"ATLANTIC AVE AT MARTIN LUTHER KING BLVD",,39.360630,-74.431431,0
285,10069,"ATLANTIC AVE AT KENTUCKY AVE",,39.361178,-74.430162,0
286,10070,"ATLANTIC AVE AT NEW YORK AVE",,39.361679,-74.428922,0
287,10071,"ATLANTIC AVE AT TENNESSEE AVE",,39.362200,-74.427763,0
289,10066,"ATLANTIC AVE AT ARKANSAS AVE",,39.358569,-74.436630,0
292,10090,"ON ATLANTIC AVE AT OHIO AVE",,39.359479,-74.434891,0
294,10099,"ALBANY AVE AT CROSSAN AVE",,39.358580,-74.460833,0
295,10100,"ALBANY AVE AT FILBERT AVE",,39.357550,-74.459992,0
296,10065,"ATLANTIC AVE AT MISSISSIPPI AVE",,39.357618,-74.438972,0
299,10869,"SHORE RD AT MEDICAL CENTER",,39.315708,-74.594402,0
301,10866,"SHORE RD AT CONNECTICUT AVE",,39.315840,-74.594430,0
302,10873,"SHORE RD AT DAWES AVE",,39.324398,-74.587553,0
303,10871,"SHORE RD AT GROVELAND AVE",,39.320600,-74.590623,0
304,10864,"SHORE RD AT GROVELAND AVE",,39.320268,-74.591010,8192
305,10870,"SHORE RD AT PLEASANT AVE",,39.318819,-74.592023,0
307,10863,"SHORE RD AT MEYRAN AVE",,39.324568,-74.587541,0
308,10868,"SHORE RD AT NEW JERSEY AVE",,39.313028,-74.596072,0
309,10867,"SHORE RD AT NEW JERSEY AVE",,39.312439,-74.596531,0
311,10862,"SHORE RD AT OCEAN AVE",,39.326598,-74.585881,0
313,11607,"RT. 4 AT BROAD AVE",,40.877038,-73.977413,0
315,13622,"CEDAR LN AT RIVER RD",,40.891438,-74.030752,0
316,13623,"CEDAR LN AT WESTERLY CATALPA AVE",,40.891309,-74.029214,0
317,13625,"CEDAR LANE AT LARCH AVE",,40.890348,-74.025993,0
318,13626,"CEDAR LN AT ELM AVE",,40.889898,-74.024581,0
319,13627,"CEDAR LN AT GARRISON AVE",,40.889090,-74.022182,0
320,13628,"CEDAR LN AT PALISADE AVE",,40.887728,-74.018162,0
321,13629,"CEDAR LANE AT QUEEN ANNE RD",,40.886678,-74.015091,0
322,13630,"CEDAR LN AT GRANGE RD",,40.885769,-74.012182,0
323,13632,"CEDAR LN AT TEANECK RD",,40.884640,-74.008032,0
324,13633,"CEDAR LN AT GRANGE RD",,40.885818,-74.011851,0
325,13634,"CEDAR LN AT QUEEN ANNE RD",,40.886698,-74.014652,0
326,13635,"CEDAR LN AT PALISADE AVE",,40.888128,-74.018863,0
327,13636,"CEDAR LN AT CHESTNUT AVE",,40.889438,-74.022793,0
328,13637,"CEDAR LN AT ELM AVE",,40.890079,-74.024713,0
329,13638,"CEDAR LANE AT LINCOLN PL",,40.890608,-74.026192,0
330,13639,"CEDAR LN AT WESTERLY CATALPA AVE",,40.891529,-74.029870,0
332,13641,"DEGRAW AVE AT JAMES ST",,40.875778,-74.022431,0
333,13642,"DEGRAW AVE AT QUEEN ANNE RD",,40.874950,-74.020213,0
334,13643,"DEGRAW AVE AT BEECH ST",,40.874309,-74.018533,0
335,13644,"DEGRAW AVE AT MORNINGSIDE TER",,40.873437,-74.016250,0
336,13645,"DEGRAW AVE AT GIFFORD PL",,40.872629,-74.014112,0
337,13646,"DEGRAW AVE AT FRANK W. BURR BLVD",,40.871500,-74.007202,0
338,13647,"DEGRAW AVE AT FRANK W. BURR BLVD",,40.871689,-74.006703,0
339,13648,"DEGRAW AVE AT GIFFORD PL",,40.872708,-74.013861,0
340,13649,"DEGRAW AVE AT ROCKLEDGE PL",,40.873237,-74.015282,0
341,13650,"DEGRAW AVE AT WOODBINE ST",,40.873920,-74.017103,0
342,13651,"DEGRAW AVE AT BEECH ST",,40.874369,-74.018253,0
343,13652,"DEGRAW AVE AT QUEEN ANNE RD",,40.875199,-74.020391,0
344,13653,"DEGRAW AVE AT FARRANT TERRACE",,40.876049,-74.022721,0
345,13654,"EAST FOREST AVE AT TEANECK RD",,40.893589,-74.001292,0
346,13655,"EAST FOREST AVE AT ARLINGTON AVE",,40.892797,-73.999023,0
347,13656,"EAST FOREST AVE AT TUXEDO SQ",,40.891879,-73.996571,0
348,13657,"EAST FOREST AVE AT LORRAINE AVE",,40.891118,-73.994493,0
349,13658,"EAST FOREST AVE AT LORRAINE AVE",,40.891249,-73.994480,0
350,13659,"EAST FOREST AVE AT TUXEDO AVE",,40.891888,-73.996313,0
352,13662,"FORT LEE RD AT PARK AVE",,40.871908,-74.018271,0
353,13663,"FORT LEE RD AT LEES AVE",,40.871179,-74.016291,0
354,13664,"FORT LEE RD AT LOCUST ST",,40.871157,-74.016063,0
355,13665,"FORT LEE RD AT WOODBINE AVE",,40.872018,-74.018360,0
356,13702,"RIVER RD AT TERHUNE ST",,40.885927,-74.031321,0
357,13703,"RIVER RD AT KENWOOD PL",,40.887969,-74.030903,0
358,13704,"RIVER RD AT KENT AVE",,40.889709,-74.031083,0
359,13705,"RIVER RD & BEVERLY RD",,40.892310,-74.031241,0
360,13706,"RIVER RD AT TILDEN AVE",,40.894069,-74.030522,0
361,13707,"RIVER RD 420'N OF MARTENSE AVE",,40.896047,-74.028843,0
362,13708,"RIVER RD AT RAMAPO RD",,40.897609,-74.027931,0
363,13709,"RIVER RD AT CORNWALL RD",,40.899980,-74.026181,0
364,13710,"RIVER RD AT FOREST AVE",,40.901180,-74.025023,0
365,13711,"RIVER RD AT WENDEL PL",,40.904339,-74.024292,0
366,13718,"RIVER RD AT GREENVILLE AVE",,40.906718,-74.023590,0
367,13719,"RIVER RD AT WENDEL PL",,40.905038,-74.024312,0
368,13720,"RIVER RD AT FOREST AVE",,40.901648,-74.024850,0
369,13721,"RIVER RD AT CORNWALL RD",,40.900199,-74.026113,0
370,13722,"RIVER RD 120'S OF RAMAPO RD",,40.896990,-74.028421,0
371,13723,"RIVER RD 200'N OF MARTENSE AVE",,40.895390,-74.029533,0
372,13724,"RIVER RD AT LONG PINE LN",,40.893658,-74.031013,0
373,13725,"RIVER RD AT CEDAR LN",,40.891129,-74.031380,0
374,13726,"RIVER RD AT KENT AVE",,40.889578,-74.031190,0
375,13727,"RIVER RD AT CADMUS CT",,40.888188,-74.030991,0
376,13728,"RIVER RD AT TERHUNE ST",,40.885678,-74.031481,0
377,13748,"TEANECK RD AT EAST MAPLE ST",,40.867559,-74.014872,0
378,13749,"TEANECK RD AT EAST WALNUT ST",,40.869089,-74.014453,0
379,13750,"TEANECK RD AT PUFFIN WAY",,40.874698,-74.012171,0
380,13751,"TEANECK RD AT DEMAREST RD",,40.877778,-74.011100,0
381,13752,"TEANECK RD AT JOHNSON AVE, T. JEFFERSON SCHOOL",,40.880548,-74.009671,0
382,13753,"TEANECK RD AT LINDBERGH BLVD, HOLY NAME HOSPITAL",,40.882228,-74.008652,0
383,13754,"TEANECK RD AT GOLF CT/CEDAR LN",,40.884749,-74.006552,0
384,13755,"TEANECK RD AT HOLLAND TER",,40.886010,-74.006202,0
385,13756,"TEANECK RD AT MONTEREY AVE",,40.887259,-74.005703,0
386,13757,"TEANECK RD AT GRAYSON PL",,40.888358,-74.005021,0
388,13759,"TEANECK RD AT ROBINSON ST",,40.892438,-74.002512,0
389,13760,"TEANECK RD AT FOREST AVE",,40.893688,-74.001911,0
390,13761,"TEANECK RD AT CIRCLE DRIVEWAY",,40.895379,-74.001123,0
391,13762,"TEANECK RD AT FRANKLIN RD",,40.897609,-74.000411,0
392,13763,"TEANECK RD AT WEST ENGLEWOOD AVE",,40.899218,-73.999933,0
393,13764,"TEANECK RD AT WESTERVELT PL",,40.900539,-73.999541,0
394,13765,"TEANECK RD AT STATE ST",,40.901690,-73.999203,0
395,13766,"TEANECK RD AT AMSTERDAM AVE",,40.902728,-73.998913,0
396,13767,"TEANECK RD AT TRYON AVE",,40.904098,-73.998612,0
397,13768,"TEANECK RD AT VAN BUSKIRK RD",,40.905449,-73.998691,0
398,13769,"TEANECK RD AT VOORHEES ST",,40.906849,-73.998730,0
399,13770,"TEANECK RD AT VAN ARSDALE PL",,40.909190,-73.998390,0
400,13771,"TEANECK RD AT WARD PLAZA",,40.910330,-73.998121,0
401,13772,"TEANECK RD AT LIBERTY RD",,40.911949,-73.997711,0
402,13773,"TEANECK RD AT LIBERTY RD",,40.911768,-73.997891,0
404,13775,"TEANECK RD AT ELMER PL",,40.908998,-73.998570,0
405,13776,"TEANECK RD AT SACKVILLE ST",,40.907228,-73.998874,0
406,13777,"TEANECK RD AT BILTON ST",,40.906189,-73.998862,0
407,13778,"TEANECK RD AT TRYON AVE",,40.903890,-73.998832,0
408,13779,"TEANECK RD AT AMSTERDAM AVE",,40.902920,-73.999012,0
409,13780,"TEANECK RD AT STATE ST",,40.900289,-73.999762,0
410,13781,"TEANECK RD AT WEST ENGLEWOOD AVE",,40.898599,-74.000260,0
411,13782,"TEANECK RD AT BOGERT ST",,40.897330,-74.000611,0
412,13783,"TEANECK RD AT GENESEE AVE",,40.896058,-74.001031,0
413,13784,"TEANECK RD AT FOREST AVE",,40.894058,-74.001881,0
414,13785,"TEANECK RD AT SELVAGE AVE",,40.892348,-74.002730,0
416,13787,"TEANECK RD AT GRAYSON PL",,40.887920,-74.005484,0
417,13788,"TEANECK RD AT GOLF CT",,40.884919,-74.006561,0
418,13789,"TEANECK RD AT LINDBERGH BLVD, HOLY NAME HOSPITAL",,40.882519,-74.008641,0
419,13790,"TEANECK RD AT JOHNSON AVE, T. JEFFERSON SCHOOL",,40.880480,-74.009843,0
420,13791,"TEANECK RD AT PARKER LN",,40.878699,-74.010823,0
421,13792,"TEANECK RD AT COPLEY AVE",,40.876348,-74.011761,0
422,13793,"TEANECK RD AT OAKDENE AVE",,40.874638,-74.012313,0
423,13794,"TEANECK RD AT FENIMORE RD",,40.873459,-74.012680,0
424,13796,"TEANECK RD AT EAST WALNUT ST",,40.868930,-74.014633,0
425,13797,"TEANECK RD AT MAPLE ST",,40.867368,-74.015063,0
426,13798,"TEANECK RD AT JASPER AVE",,40.865978,-74.015440,0
427,13666,"(GLEN POINTE) FRANK W BURR BLVD",,40.871878,-74.004080,8192
428,13667,"FRANK W. BURR BLVD 1170'N OF GLENWOOD AVE. ",,40.874459,-74.005691,8192
429,13672,"HARGREAVES AVE AT ARDLEY COURT",,40.903219,-73.991054,0
430,13673,"QUEEN ANNE RD AT FORT LEE RD",,40.873448,-74.021262,0
431,13674,"QUEEN ANNE RD AT DEGRAW AVE",,40.875860,-74.020451,0
432,13675,"QUEEN ANNE RD AT QUEENS CT",,40.877348,-74.019782,0
433,13676,"QUEEN ANNE RD AT HERRICK AVE",,40.880118,-74.018310,0
434,13677,"QUEEN ANNE RD AT SHERMAN AVE",,40.881858,-74.017403,0
435,13678,"QUEEN ANNE RD AT VANDELINDA AVE",,40.883459,-74.016562,0
436,13679,"QUEEN ANNE RD AT CEDAR LANE",,40.885980,-74.015213,0
437,13680,"QUEEN ANNE RD AT MERRISON ST",,40.888207,-74.014070,0
438,13681,"QUEEN ANNE RD AT CARLTON TER",,40.889698,-74.013300,0
439,13682,"QUEEN ANNE RD AT GRAYSON PL",,40.891400,-74.012462,0
440,13683,"QUEEN ANNE RD AT SELVAGE AVE",,40.894907,-74.009453,0
441,13684,"QUEEN ANNE RD AT WEST FOREST AVE",,40.896478,-74.008141,0
442,13685,"QUEEN ANNE RD AT PINEWOOD PL",,40.897828,-74.007492,0
443,13686,"QUEEN ANNE RD AT BOGERT ST",,40.899388,-74.006623,0
444,13690,"QUEEN ANNE RD AT BOGERT ST",,40.899629,-74.006612,0
445,13691,"QUEEN ANNE RD AT PINEWOOD PL",,40.898048,-74.007493,0
446,13692,"QUEEN ANNE RD AT FOREST AVE",,40.896349,-74.008382,0
447,13693,"QUEEN ANNE RD AT SELVAGE AVE",,40.894779,-74.009701,0
448,13694,"QUEEN ANNE RD AT GRAYSON PL",,40.891298,-74.012651,0
449,13695,"QUEEN ANNE RD AT CHERRY LN",,40.888969,-74.013810,0
450,13696,"QUEEN ANNE RD AT CEDAR LANE",,40.886418,-74.015102,0
451,13697,"QUEEN ANNE RD AT VANDELINDA AVE",,40.883678,-74.016523,0
452,13698,"QUEEN ANNE RD AT SHERMAN AVE",,40.882088,-74.017382,0
453,13699,"QUEEN ANNE RD AT HERRICK AVE",,40.880019,-74.018471,0
454,13700,"QUEEN ANNE RD AT OAKDENE AVE",,40.877800,-74.019642,0
455,13701,"QUEEN ANNE RD AT DEGRAW AVE",,40.874799,-74.020903,0
456,13742,"STATE ST AT QUEEN ANNE RD",,40.902928,-74.004432,0
457,13743,"STATE ST AT TERRACE CIRCLE",,40.902158,-74.002583,0
458,13744,"STATE ST AT TEANECK RD",,40.900950,-73.999652,0
459,13745,"STATE ST AT TEANECK RD",,40.901369,-74.000201,0
460,13746,"STATE ST AT TERRACE CIRCLE",,40.902328,-74.002443,0
461,13747,"STATE ST 157' E OF QUEEN ANNE RD.",,40.902769,-74.003481,8192
462,13799,"TRYON AVE AT TEANECK RD",,40.904038,-73.998101,0
463,13800,"TRYON AVE AT CRESCENT AVE",,40.903690,-73.994702,0
464,13801,"TRYON AVE AT VAN CORTLANDT TERRACE",,40.903789,-73.994592,0
465,13802,"W ENGLEWOOD AVE AT RIVER RD",,40.907178,-74.022823,0
466,13803,"WEST ENGLEWOOD AVE AT SOMERSET GATE",,40.906480,-74.020863,0
467,13804,"WEST ENGLEWOOD AVE AT HUDSON RD",,40.905589,-74.018362,0
468,13805,"WEST ENGLEWOOD AVE AT WELLINGTON GATE",,40.904770,-74.016093,0
469,13806,"WEST ENGLEWOOD AVE AT SUSSEX RD",,40.904030,-74.014043,0
471,13807,"WEST ENGLEWOOD AVE AT WINDSOR RD",,40.901999,-74.008723,0
477,13808,"WEST ENGLEWOOD AVE AT WINDSOR RD",,40.902090,-74.008642,0
479,13809,"WEST ENGLEWOOD AVE AT SUSSEX RD",,40.903978,-74.013681,0
480,13687,"QUEEN ANNE RD AT WEST ENGLEWOOD AVE",,40.900659,-74.005623,0
481,13740,"RT-4 AT BELLE AVE",,40.895258,-74.017021,0
482,13737,"RT-4 AT CONGRESS AVE",,40.889238,-73.998963,0
483,13736,"RT-4 AT DECATUR AVE",,40.887429,-73.994471,0
484,13730,"RT-4 AT GARRISON AVE",,40.895368,-74.017951,0
485,13739,"RT-4 AT MARGARET ST",,40.892140,-74.008084,0
486,13732,"RT-4 AT MARGARET ST",,40.891729,-74.007480,0
