stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
90701,Trenton,,40.2177778,-74.7550000,,
90702,Levittown-Tullytown,,40.1402778,-74.8169444,,
90703,Bristol,,40.1047222,-74.8547222,,
90704,Croydon,,40.0936111,-74.9066667,,
90705,Eddington,,40.0830556,-74.9336111,,
90706,Cornwells Heights,,40.0716667,-74.9522222,,
90707,Torresdale,,40.0544444,-74.9844444,,
90708,Holmesburg Jct,,40.0327778,-75.0236111,,
90709,Tacony,,40.0233333,-75.0388889,,
90710,Bridesburg,,40.0105556,-75.0697222,,
90327,West Trenton,,40.2577778,-74.8152778,,
90326,Yardley,,40.2352778,-74.8305556,,
90325,Woodbourne,,40.1925000,-74.8891667,,
90324,Langhorne,,40.1608333,-74.9125000,,
90322,Trevose,,40.1402778,-74.9825000,,
90321,Somerton,,40.1305556,-75.0119444,,
90320,Forest Hills,,40.1277778,-75.0205556,,
90319,Philmont,,40.1219444,-75.0436111,,
90318,Bethayres,,40.1166667,-75.0683333,,
90317,Meadowbrook,,40.1113889,-75.0925000,,
90316,Rydal,,40.1075000,-75.1105556,,
90315,Noble,,40.1044444,-75.1241667,,
90538,Doylestown,,40.3063889,-75.1302778,,
90537,Delaware Valley College,,40.2955556,-75.1566667,,
90536,New Britain,,40.2975000,-75.1797222,,
90534,Link Belt,,40.2738889,-75.2466667,,
90532,Fortuna,,40.2594444,-75.2661111,,
90531,Lansdale,,40.2427778,-75.2850000,,
90535,Chalfont,,40.2877778,-75.2097222,,
90533,Colmar,,40.2683333,-75.2544444,,
90530,Pennbrook,,40.2302778,-75.2816667,,
90529,North Wales,,40.2141667,-75.2772222,,
90527,Penllyn,,40.1700000,-75.2441667,,
90526,Ambler,,40.1536111,-75.2247222,,
90525,Fort Washington,,40.1358333,-75.2122222,,
90524,Oreland,,40.1183333,-75.1838889,,
90523,North Hills,,40.1119444,-75.1694444,,
90417,Warminster,,40.1952778,-75.0891667,,
90416,Hatboro,,40.1761111,-75.1025000,,
90414,Crestmont,,40.1333333,-75.1186111,,
90413,Roslyn,,40.1208333,-75.1341667,,
90412,Ardsley,,40.1141667,-75.1530556,,
90409,Elkins Park,,40.0713889,-75.1277778,,
90408,Melrose Park,,40.0594444,-75.1291667,,
90407,Fern Rock T C,,40.0405556,-75.1347222,,
90009,Wayne Junction,,40.0222222,-75.1600000,,
90815,Fox Chase,,40.0763889,-75.0833333,,
90814,Ryers,,40.0641667,-75.0863889,,
90813,Cheltenham,,40.0580556,-75.0927778,,
90812,Lawndale,,40.0513889,-75.1030556,,
90811,Olney,,40.0333333,-75.1227778,,
90720,Chestnut Hill East,,40.0811111,-75.2072222,,
90719,Gravers,,40.0775000,-75.2016667,,
90718,Wyndmoor,,40.0733333,-75.1966667,,
90717,Mount Airy,,40.0652778,-75.1908333,,
90716,Sedgwick,,40.0627778,-75.1852778,,
90715,Stenton,,40.0605556,-75.1786111,,
90714,Washington Lane,,40.0508333,-75.1713889,,
90713,Germantown,,40.0375000,-75.1716667,,
90712,Wister,,40.0361111,-75.1611111,,
90801,Chestnut Hill West,,40.0763889,-75.2083333,,
90802,Highland,,40.0705556,-75.2111111,,
90803,St. Martins,,40.0658333,-75.2044444,,
90804,Allen Lane,,40.0575000,-75.1947222,,
90805,Carpenter,,40.0511111,-75.1913889,,
90806,Upsal,,40.0425000,-75.1900000,,
90807,Tulpehocken,,40.0352778,-75.1869444,,
90808,Chelten Avenue,,40.0300000,-75.1808333,,
90809,Queen Lane,,40.0233333,-75.1780556,,
90228,Norristown,,40.1202778,-75.3475000,,
90227,Main Street,,40.1172222,-75.3486111,,
90226,Norristown T.C.,,40.1127778,-75.3441667,,
90225,Conshohocken,,40.0722222,-75.3086111,,
90224,Spring Mill,,40.0741667,-75.2861111,,
90223,Miquon,,40.0586111,-75.2663889,,
90222,Ivy Ridge,,40.0341667,-75.2355556,,
90221,Manayunk,,40.0269444,-75.2250000,,
90220,Wissahickon,,40.0166667,-75.2102778,,
90219,East Falls,,40.0113889,-75.1919444,,
90218,Allegheny,,40.0036111,-75.1647222,,
90502,Downingtown,,40.0022222,-75.7102778,,
90503,Whitford,,40.0147222,-75.6380556,,
90504,Exton,,40.0191667,-75.6227778,,
90505,Malvern,,40.0363889,-75.5155556,,
90506,Paoli,,40.0430556,-75.4827778,,
90507,Daylesford,,40.0430556,-75.4605556,,
90508,Berwyn,,40.0480556,-75.4422222,,
90509,Devon,,40.0472222,-75.4227778,,
90510,Strafford,,40.0494444,-75.4030556,,
90511,Wayne,,40.0458333,-75.3866667,,
90512,St. Davids,,40.0438889,-75.3725000,,
90513,Radnor,,40.0447222,-75.3588889,,
90514,Villanova,,40.0383333,-75.3416667,,
90515,Rosemont,,40.0277778,-75.3266667,,
90516,Bryn Mawr,,40.0219444,-75.3163889,,
90517,Haverford,,40.0138889,-75.2997222,,
90518,Ardmore,,40.0083333,-75.2902778,,
90519,Wynnewood,,40.0027778,-75.2725000,,
90520,Narberth,,40.0047222,-75.2613889,,
90521,Merion,,39.9986111,-75.2513889,,
90522,Overbrook,,39.9894444,-75.2494444,,
90004,30th Street Station,,39.9566667,-75.1816667,,
90005,Suburban Station,,39.9538889,-75.1677778,,
90006,Market East,,39.9525000,-75.1580556,,
90007,Temple University,,39.9813889,-75.1494444,,
90008,North Broad,,39.9922222,-75.1538889,,
90001,Cynwyd,,40.0066667,-75.2316667,,
90002,Bala,,40.0011111,-75.2277778,,
90003,Wynnefield Avenue,,39.9900000,-75.2255556,,
90406,University City,,39.9480556,-75.1902778,,
90314,49th Street,,39.9436111,-75.2166667,,
90313,Angora,,39.9447222,-75.2386111,,
90312,Fernwood-Yeadon,,39.9397222,-75.2558333,,
90311,Lansdowne,,39.9375000,-75.2708333,,
90310,Gladstone,,39.9327778,-75.2822222,,
90309,Clifton-Aldan,,39.9266667,-75.2902778,,
90308,Primos,,39.9216667,-75.2983333,,
90307,Secane,,39.9158333,-75.3097222,,
90306,Morton-Rutledge,,39.9077778,-75.3288889,,
90305,Swarthmore,,39.9022222,-75.3508333,,
90304,Wallingford,,39.9036111,-75.3719444,,
90303,Moylan-Rose Valley,,39.9061111,-75.3886111,,
90302,Media,,39.9144444,-75.3950000,,
90301,Elwyn,,39.9075000,-75.4116667,,
90217,Darby,,39.9130556,-75.2544444,,
90216,Curtis Park,,39.9080556,-75.2650000,,
90215,Sharon Hill,,39.9044444,-75.2708333,,
90214,Folcroft,,39.9005556,-75.2797222,,
90213,Glenolden,,39.8963889,-75.2900000,,
90212,Norwood,,39.8916667,-75.3016667,,
90211,Prospect Park - Moore,,39.8883333,-75.3088889,,
90210,Ridley Park,,39.8805556,-75.3222222,,
90209,Crum Lynne,,39.8719444,-75.3311111,,
90208,Eddystone,,39.8572222,-75.3422222,,
90207,Chester,,39.8497222,-75.3600000,,
90206,Highland Avenue,,39.8336111,-75.3933333,,
90205,Marcus Hook,,39.8216667,-75.4194444,,
90204,Claymont,,39.7977778,-75.4522222,,
90203,Wilmington,,39.7372222,-75.5511111,,
90201,Newark,,39.6705556,-75.7527778,,
90405,Eastwick,,39.8927778,-75.2438889,,
90404,Airport Terminal A,,39.8761111,-75.2452778,,
