Zone,Ticket Type,1,3,4,7,9,10,12,14
1,monthly,177,210,242,276,325,363,429,466
1,weekly,56.75,67.25,77.5,88.25,104,116.25,137.25,149
1,ten_trip,80,95,110,125,147.5,175,207.5,270
1,ten_trip_offpeak,49,59.5,68,76.5,91.5,108.5,127.5,168
1,adult,8,9.5,11,12.5,14.75,17.5,20.75,27
1,adult_offpeak,5.75,7,8,9,10.75,12.75,15,19.75
1,senior,4,4.75,5.5,6.25,7.25,8.75,10.25,13.5
1,disabled,4,4.75,5.5,6.25,7.25,8.75,10.25,13.5
1,onboard,14,16,17,19,21,24,27,33
1,onboard_offpeak,12,13,14,15,17,19,21,26
3,monthly,210,134,180,210,255,299,363,397
3,weekly,67.25,41.5,55.75,65,79,92.75,112.5,123
3,ten_trip,95,,,,,,,
3,ten_trip_offpeak,59.5,,,,,,,
3,adult,9.5,5,7.25,8.75,10.75,13.5,18,23.25
3,adult_offpeak,7,3.75,5.25,6.25,7.75,9.75,13,17
3,senior,4.75,2.5,3.5,4.25,5.25,6.75,9,11.5
3,disabled,4.75,2.5,3.5,4.25,5.25,6.75,9,11.5
3,onboard,16,11,13,15,17,20,24,29
3,onboard_offpeak,13,10,11,12,14,16,19,23
4,monthly,242,242,89,89,149,200,255,309
4,weekly,77.5,77.5,27.5,27.5,46.25,62,79,95.75
4,ten_trip,110,110,,,,,,
4,ten_trip_offpeak,68,68,,,,,,
4,adult,11,11,3,3,5.25,6.75,10,15.75
4,adult_offpeak,8,8,,,,,,
4,senior,5.5,5.5,1.5,1.5,2.5,3.25,5,7.75
4,disabled,5.5,5.5,1.5,1.5,2.5,3.25,5,7.75
4,onboard,17,17,9,9,11,13,16,22
4,onboard_offpeak,14,14,,,,,,
7,monthly,276,210,89,89,89,149,221,277
7,weekly,88.25,65,27.5,27.5,27.5,46.25,68.5,85.75
7,ten_trip,125,,,,,,,
7,ten_trip_offpeak,76.5,,,,,,,
7,adult,12.5,8.75,3,3,3,5.25,8.75,14.75
7,adult_offpeak,9,6.25,,,,,,
7,senior,6.25,4.25,1.5,1.5,1.5,2.5,4.25,7.25
7,disabled,6.25,4.25,1.5,1.5,1.5,2.5,4.25,7.25
7,onboard,19,15,9,9,9,11,15,21
7,onboard_offpeak,15,12,,,,,,
9,monthly,325,255,149,89,89,89,190,244
9,weekly,104,79,46.25,27.5,27.5,27.5,59,75.75
9,ten_trip,147.5,,,,,,,
9,ten_trip_offpeak,91.5,,,,,,,
9,adult,14.75,10.75,5.25,3,3,3,6.75,12
9,adult_offpeak,10.75,7.75,,,,,,
9,senior,7.25,5.25,2.5,1.5,1.5,1.5,3.25,6
9,disabled,7.25,5.25,2.5,1.5,1.5,1.5,3.25,6
9,onboard,21,17,11,9,9,9,13,18
9,onboard_offpeak,17,14,,,,,,
10,monthly,363,299,200,149,89,89,89,190
10,weekly,116.25,92.75,62,46.25,27.5,27.5,27.5,59
10,ten_trip,175,,,,,,,
10,ten_trip_offpeak,108.5,,,,,,,
10,adult,17.5,13.5,6.75,5.25,3,3,3,8.5
10,adult_offpeak,12.75,9.75,,,,,,
10,senior,8.75,6.75,3.25,2.5,1.5,1.5,1.5,4.25
10,disabled,8.75,6.75,3.25,2.5,1.5,1.5,1.5,4.25
10,onboard,24,20,13,11,9,9,9,15
10,onboard_offpeak,19,16,,,,,,
12,monthly,429,363,255,221,190,89,89,156
12,weekly,137.25,112.5,79,68.5,59,27.5,27.5,48.25
12,ten_trip,207.5,,,,,,,
12,ten_trip_offpeak,127.5,,,,,,,
12,adult,20.75,18,10,8.75,6.75,3,3,5.75
12,adult_offpeak,15,13,,,,,,
12,senior,10.25,9,5,4.25,3.25,1.5,1.5,2.75
12,disabled,10.25,9,5,4.25,3.25,1.5,1.5,2.75
12,onboard,27,24,16,15,13,9,9,12
12,onboard_offpeak,21,19,,,,,,
14,monthly,466,397,309,277,244,190,156,89
14,weekly,149,123,95.75,85.75,75.75,59,48.25,27.5
14,ten_trip,270,,,,,,,
14,ten_trip_offpeak,168,,,,,,,
14,adult,27,23.25,15.75,14.75,12,8.5,5.75,3
14,adult_offpeak,19.75,17,,,,,,
14,senior,13.5,11.5,7.75,7.25,6,4.25,2.75,1.5
14,disabled,13.5,11.5,7.75,7.25,6,4.25,2.75,1.5
14,onboard,33,29,22,21,18,15,12,9
14,onboard_offpeak,26,23,,,,,,
