1,3,4,7,9,10,12,14
Atlantic Terminal,Auburndale,Bellerose,Albertson,Amityville,Bay Shore,Bellport,Amagansett
Forest Hills,Bayside,Cedarhurst,Baldwin,Babylon,Brentwood,Mastic Shirley,Bridgehampton
East New York,Broadway,Country Life Press,Bellmore,Cold Spring Harbor,Central Islip,Speonk,East Hampton
Hunterspoint Avenue,Douglaston,East Williston,Bethpage,Copiague,Great River,Yaphank,Greenport
Long Island City,Flushing Main Street,Far Rockaway,Carle Place,Deer Park,Islip,,Hampton Bays
Kew Gardens,Hollis,Floral Park,Centre Avenue,Greenlawn,Kings Park,,Mattituck
Mets-Willets Point,Jamaica,Garden City,East Rockaway,Huntington,Medford,,Montauk
Nostrand Avenue,Laurelton,Gibson,Farmingdale,Lindenhurst,Oakdale,,Riverhead
Penn Station,Little Neck,Great Neck,Freeport,Northport,Patchogue,,Southampton
Woodside,Locust Manor,Hempstead,Glen Cove,Pinelawn,Port Jefferson,,Southold
,Murray Hill,Hempstead Gardens,Glen Head,Wyandanch,Ronkonkoma,,Westhampton
,Queens Village,Hewlett,Glen Street,,Sayville,,
,Rosedale,Inwood,Greenvale,,Smithtown,,
,St. Albans,Lakeview,Hicksville,,St. James,,
,,Lawrence,Island Park,,Stony Brook,,
,,Lynbrook,Locust Valley,,,,
,,Malverne,Long Beach,,,,
,,Manhasset,Massapequa,,,,
,,Merillon Avenue,Massapequa Park,,,,
,,Mineola,Merrick,,,,
,,Nassau Boulevard,Oceanside,,,,
,,New Hyde Park,Oyster Bay,,,,
,,Plandome,Rockville Centre,,,,
,,Port Washington,Roslyn,,,,
,,Stewart Manor,Sea Cliff,,,,
,,Valley Stream,Seaford,,,,
,,West Hempstead,Syosset,,,,
,,Westwood,Wantagh,,,,
,,Woodmere,Westbury,,,,
,,Belmont,,,,,
